RECORD

            0      0.764842       0.18274     -0.617756    0.00116945   -0.00474266   4.49501e-05
        0.001      0.764844      0.182735     -0.617756     0.0013764   -0.00530919    0.00013359
        0.002      0.764845      0.182729     -0.617756    0.00158268   -0.00587481   0.000221675
        0.003      0.764847      0.182723     -0.617755    0.00178829    -0.0064395   0.000309209
        0.004      0.764849      0.182716     -0.617755    0.00199324   -0.00700329   0.000396193
        0.005      0.764851      0.182708     -0.617754    0.00219751   -0.00756615   0.000482632
        0.006      0.764854        0.1827     -0.617754    0.00240113    -0.0081281   0.000568529
        0.007      0.764856      0.182691     -0.617753    0.00260408   -0.00868914   0.000653887
        0.008      0.764859      0.182682     -0.617752    0.00280638   -0.00924927   0.000738709
        0.009      0.764862      0.182672     -0.617752    0.00300802   -0.00980848   0.000822998
         0.01      0.764865      0.182662     -0.617751      0.003209    -0.0103668   0.000906758
        0.011      0.764869      0.182651      -0.61775    0.00340934    -0.0109242   0.000989991
        0.012      0.764872      0.182639     -0.617749    0.00360902    -0.0114807     0.0010727
        0.013      0.764876      0.182627     -0.617748    0.00380806    -0.0120363    0.00115489
        0.014       0.76488      0.182615     -0.617746    0.00400646    -0.0125909    0.00123656
        0.015      0.764884      0.182602     -0.617745    0.00420421    -0.0131447    0.00131772
        0.016      0.764889      0.182588     -0.617744    0.00440132    -0.0136976    0.00139837
        0.017      0.764893      0.182574     -0.617742    0.00459779    -0.0142495    0.00147851
        0.018      0.764898      0.182559     -0.617741    0.00479363    -0.0148006    0.00155814
        0.019      0.764903      0.182543     -0.617739    0.00498883    -0.0153508    0.00163727
         0.02      0.764908      0.182528     -0.617737     0.0051834       -0.0159    0.00171591
        0.021      0.764914      0.182511     -0.617735    0.00537734    -0.0164484    0.00179404
        0.022      0.764919      0.182494     -0.617734    0.00557066    -0.0169959    0.00187169
        0.023      0.764925      0.182477     -0.617732    0.00576335    -0.0175425    0.00194884
        0.024      0.764931      0.182459      -0.61773    0.00595541    -0.0180882    0.00202551
        0.025      0.764937       0.18244     -0.617727    0.00614686    -0.0186329    0.00210169
        0.026      0.764943      0.182421     -0.617725    0.00633769    -0.0191768    0.00217739
        0.027       0.76495      0.182401     -0.617723     0.0065279    -0.0197199    0.00225262
        0.028      0.764957      0.182381     -0.617721    0.00671749     -0.020262    0.00232736
        0.029      0.764963       0.18236     -0.617718    0.00690647    -0.0208032    0.00240164
         0.03      0.764971      0.182339     -0.617716    0.00709484    -0.0213435    0.00247544
        0.031      0.764978      0.182317     -0.617713    0.00728261     -0.021883    0.00254878
        0.032      0.764985      0.182294     -0.617711    0.00746977    -0.0224216    0.00262165
        0.033      0.764993      0.182271     -0.617708    0.00765632    -0.0229593    0.00269407
        0.034      0.765001      0.182248     -0.617705    0.00784227    -0.0234961    0.00276602
        0.035      0.765009      0.182224     -0.617702    0.00802762     -0.024032    0.00283752
        0.036      0.765017      0.182199     -0.617699    0.00821237     -0.024567    0.00290857
        0.037      0.765025      0.182174     -0.617696    0.00839652    -0.0251012    0.00297916
        0.038      0.765034      0.182148     -0.617693    0.00858008    -0.0256345    0.00304931
        0.039      0.765043      0.182122      -0.61769    0.00876305    -0.0261669    0.00311901
         0.04      0.765052      0.182096     -0.617687    0.00894543    -0.0266984    0.00318828
        0.041      0.765061      0.182068     -0.617684    0.00912721    -0.0272291     0.0032571
